frametime, crtcoll, drawtime, crtupdate 
2.8751,2.2009,0.6319,0.0307
2.8803,2.218,0.6186,0.0306
2.9275,2.2534,0.6298,0.0315
3.0148,2.3489,0.6239,0.0308
2.9661,2.2894,0.6342,0.0307
2.8961,2.2225,0.6147,0.03
2.9164,2.2489,0.6254,0.0303
2.8217,2.1647,0.6141,0.0314
2.8682,2.192,0.6338,0.0308
2.9736,2.3177,0.613,0.0313
2.8243,2.1588,0.6234,0.0308
2.9011,2.2434,0.616,0.0304
2.8381,2.1667,0.6295,0.0304
2.8123,2.1561,0.6146,0.03
2.8579,2.1665,0.6492,0.0304
2.8821,2.2246,0.6156,0.0303
2.852,2.1863,0.6237,0.0306
2.9488,2.2936,0.6119,0.0316
3.0025,2.3279,0.617,0.0457
2.8009,2.1448,0.6141,0.0305
3.0013,2.3424,0.6169,0.0303
2.8189,2.1616,0.6145,0.0311
2.8808,2.2037,0.6337,0.0311
3.064,2.405,0.6174,0.0301
2.782,2.1169,0.6235,0.0301
2.8388,2.182,0.6146,0.0306
2.9958,2.3125,0.6412,0.0308
2.7884,2.1306,0.614,0.0313
2.8195,2.1471,0.6279,0.0308
2.9488,2.1755,0.617,0.0306
3.0164,2.2925,0.6633,0.0369
2.9495,2.272,0.6307,0.0317
2.9016,2.2032,0.6501,0.0324
2.9265,2.2439,0.6345,0.0323
3.038,2.3409,0.6453,0.0336
2.9391,2.26,0.631,0.0323
2.989,2.2912,0.6545,0.0306
3.0254,2.3547,0.6274,0.0316
2.8974,2.1936,0.6605,0.0314
2.9585,2.272,0.6429,0.0317
2.9707,2.2984,0.6296,0.031
2.8576,2.1887,0.6252,0.0321
2.8793,2.205,0.6315,0.0312
2.8921,2.2209,0.6291,0.0306
2.8637,2.1807,0.6383,0.0326
2.9211,2.2537,0.6244,0.0312
2.9416,2.2595,0.6395,0.0309
2.9539,2.2885,0.6234,0.0304
2.8541,2.1624,0.6488,0.0308
2.9188,2.239,0.6367,0.031
2.9027,2.2116,0.6482,0.0311
2.9733,2.3047,0.6265,0.0304
3.0007,2.3048,0.6533,0.0308
2.8279,2.1573,0.6276,0.031
3.0024,2.3158,0.6444,0.0305
2.8842,2.2172,0.6246,0.0309
2.8916,2.2106,0.6382,0.0312
2.9233,2.256,0.6249,0.0305
3.1819,2.4866,0.6513,0.0319
2.8974,2.229,0.6258,0.0308
3.1566,2.4819,0.6257,0.031
2.8773,2.1864,0.6326,0.0306
2.8025,2.1438,0.6135,0.0321
2.9317,2.257,0.6316,0.0313
2.9333,2.2721,0.6185,0.0309
2.8593,2.1882,0.6288,0.0306
2.8735,2.2121,0.6195,0.0305
2.942,2.276,0.6228,0.0317
2.8965,2.2407,0.6129,0.0312
3.0431,2.3733,0.6271,0.0312
2.8702,2.2099,0.6176,0.0303
2.9419,2.2596,0.6364,0.0308
2.9257,2.2543,0.6276,0.0317
2.9431,2.2418,0.6586,0.0309
2.8925,2.2188,0.6303,0.0316
2.923,2.215,0.6638,0.0325
2.9082,2.2386,0.6267,0.0309
3.1437,2.4592,0.6413,0.0311
2.917,2.248,0.6258,0.0305
2.9864,2.2854,0.6563,0.0323
3.3155,2.643,0.6285,0.0319
2.9116,2.2277,0.6394,0.0322
2.956,2.2831,0.6296,0.0315
2.9405,2.2386,0.6577,0.0316
2.9465,2.2757,0.6273,0.0317
2.8873,2.1995,0.6446,0.0314
2.9673,2.2923,0.6294,0.0308
2.9256,2.2202,0.6619,0.0314
3.0484,2.3799,0.626,0.0308
2.9542,2.2577,0.6517,0.0325
3.0604,2.39,0.6274,0.0312
2.9196,2.2221,0.6546,0.0311
2.994,2.326,0.6247,0.0313
2.9046,2.2237,0.6372,0.0317
2.9926,2.3245,0.6252,0.0313
3.0056,2.3263,0.6363,0.0314
2.9464,2.2767,0.627,0.031
2.858,2.1806,0.635,0.0309
2.9886,2.3302,0.6152,0.0317
2.8631,2.183,0.6385,0.0301
2.9232,2.2675,0.614,0.0301
2.8329,2.1497,0.6409,0.0303
2.8631,2.2062,0.6147,0.0306
2.9335,2.255,0.634,0.0328
2.8487,2.1911,0.6152,0.0305
3.0861,2.4008,0.6432,0.0303
2.9052,2.2371,0.6248,0.0299
2.9297,2.2452,0.6377,0.0315
2.9563,2.2936,0.616,0.0326
2.893,2.2038,0.6462,0.0316
2.9918,2.3364,0.6135,0.0304
2.8335,2.1557,0.6357,0.0301
2.938,2.2783,0.6138,0.0317
3.0006,2.3228,0.6361,0.0301
2.7967,2.1417,0.6133,0.0302
2.9326,2.2438,0.647,0.0305
2.8556,2.1976,0.6159,0.0307
2.831,2.1504,0.638,0.0303
2.8917,2.2249,0.6231,0.0316
2.9605,2.2707,0.6472,0.031
2.9671,2.2954,0.6287,0.0312
2.9239,2.2333,0.6479,0.0307
2.8652,2.1993,0.6242,0.0299
2.9303,2.2294,0.6578,0.0315
3.013,2.3383,0.632,0.0307
2.8996,2.2203,0.6353,0.0324
2.9217,2.2558,0.6236,0.0308
2.9819,2.294,0.6454,0.0304
2.8862,2.2166,0.6256,0.031
2.8922,2.2042,0.6456,0.0308
2.8497,2.1801,0.6265,0.0313
2.9002,2.2048,0.6516,0.031
2.8762,2.2052,0.6263,0.0331
3.3249,2.2553,0.8028,0.031
2.9974,2.332,0.6153,0.0344
2.9653,2.2827,0.64,0.0306
2.9342,2.2799,0.6116,0.031
2.9418,2.275,0.6215,0.0313
3.0261,2.3689,0.6138,0.0307
3.0244,2.3509,0.6315,0.0306
2.8482,2.1928,0.6131,0.0305
3.0893,2.4087,0.6386,0.0305
2.8187,2.1623,0.6142,0.0305
2.8232,2.153,0.6284,0.0303
3.0076,2.2593,0.6894,0.0302
2.9492,2.2882,0.6163,0.0318
2.9407,2.2711,0.6273,0.0302
2.8289,2.1754,0.6117,0.0302
2.8942,2.2177,0.6346,0.0303
2.9491,2.2943,0.6127,0.0306
2.8259,2.1545,0.6293,0.0306
2.8645,2.2065,0.6147,0.0307
2.8349,2.1501,0.6415,0.0317
2.816,2.1606,0.6129,0.0307
2.9607,2.2827,0.6349,0.0313
2.8322,2.1734,0.6154,0.0303
2.8811,2.1969,0.6421,0.0307
2.8688,2.2119,0.6145,0.0306
3.0479,2.3857,0.6194,0.0307
2.8873,2.233,0.6121,0.0304
2.9569,2.2728,0.6418,0.0305
2.9123,2.2567,0.6139,0.0304
2.8806,2.1922,0.6464,0.0306
2.8577,2.1944,0.6194,0.0312
2.8904,2.2073,0.6408,0.0306
2.8262,2.1658,0.6183,0.0305
2.8866,2.1981,0.6446,0.0317
3.0899,2.4244,0.6232,0.0308
2.9071,2.2306,0.6338,0.0311
2.8584,2.2033,0.6118,0.0315
2.8615,2.174,0.6446,0.0312
2.9387,2.2811,0.6147,0.0303
2.8257,2.1415,0.6389,0.0334
2.8585,2.2024,0.614,0.0306
2.8393,2.1771,0.62,0.0305
2.8919,2.23,0.619,0.0312
2.8763,2.2143,0.6181,0.0313
2.9232,2.1924,0.6271,0.0311
2.8582,2.1701,0.6351,0.0337
2.8686,2.2043,0.6157,0.034
2.8071,2.1251,0.6365,0.0307
2.846,2.187,0.6139,0.0329
2.8919,2.2131,0.6357,0.0309
2.8413,2.1862,0.6128,0.0306
2.8989,2.2202,0.6357,0.031
2.8356,2.1784,0.6145,0.0305
2.8585,2.1953,0.6205,0.0302
2.8313,2.1701,0.6166,0.031
2.8416,2.1619,0.6365,0.0315
2.8483,2.1928,0.6111,0.0329
2.8294,2.1427,0.644,0.0304
2.863,2.2071,0.6132,0.0312
2.8413,2.1791,0.619,0.0312
2.915,2.2563,0.6147,0.0307
2.845,2.1787,0.6245,0.0302
2.8762,2.2238,0.61,0.0308
2.8734,2.2059,0.6256,0.03
2.8016,2.1471,0.6112,0.0305
2.8353,2.1715,0.6205,0.0314
2.8031,2.1494,0.6106,0.0313
3.0202,2.3327,0.6444,0.0316
2.8571,2.2033,0.6112,0.031
2.9928,2.3197,0.6305,0.031
2.8318,2.1795,0.6092,0.0317
2.928,2.2518,0.6312,0.0301
3.0572,2.3989,0.6142,0.0317
2.9007,2.2244,0.6341,0.0305
2.7871,2.1323,0.6129,0.0302
2.8395,2.1795,0.6174,0.0308
2.8297,2.1741,0.6136,0.0305
2.8209,2.1514,0.6274,0.0305
2.8478,2.195,0.6107,0.0305
3.1459,2.4532,0.6316,0.0494
2.9117,2.255,0.6144,0.0307
2.8372,2.161,0.6341,0.0304
2.9499,2.2902,0.6159,0.0302
2.8154,2.1387,0.6344,0.0308
2.8151,2.1587,0.6136,0.0314
2.8735,2.2124,0.619,0.0305
2.7947,2.14,0.6127,0.0305
2.8727,2.1854,0.6435,0.0321
2.7863,2.1321,0.6112,0.0308
3.001,2.3219,0.6346,0.0329
2.8246,2.1693,0.6132,0.0307
2.8285,2.1643,0.6226,0.03
2.9069,2.2534,0.6116,0.0302
2.8164,2.1426,0.6315,0.0303
2.9132,2.2584,0.6116,0.0313
2.8892,2.2225,0.6251,0.0301
2.8823,2.231,0.6102,0.0298
2.9708,2.2839,0.6446,0.0306
2.927,2.2752,0.6098,0.0303
2.9235,2.2491,0.6323,0.0305
2.8563,2.203,0.6115,0.0304
2.8774,2.2039,0.6317,0.0304
2.7971,2.133,0.6219,0.0308
2.9862,2.3052,0.6383,0.03
2.824,2.1674,0.612,0.0318
2.8203,2.1506,0.6256,0.0328
2.8135,2.157,0.6122,0.0326
2.9428,2.2744,0.6263,0.0307
2.8578,2.2049,0.6108,0.0306
2.8264,2.1419,0.6421,0.03
2.8065,2.1514,0.6131,0.0307
2.8483,2.1849,0.6209,0.031
2.8369,2.1836,0.6118,0.0301
2.9775,2.2908,0.6438,0.0312
2.8064,2.1486,0.615,0.0305
2.8429,2.1664,0.6332,0.0305
2.8455,2.1825,0.6169,0.0309
2.8399,2.1562,0.6409,0.0311
3.0363,2.3824,0.6113,0.031
2.7966,2.1247,0.6294,0.0308
2.9449,2.2885,0.6143,0.0303
2.8023,2.1335,0.6277,0.0296
2.8546,2.1991,0.6134,0.0306
2.849,2.165,0.6417,0.0305
2.9977,2.3428,0.6111,0.0319
2.8493,2.1759,0.6303,0.0312
2.8449,2.19,0.613,0.0304
2.8873,2.2053,0.6384,0.0322
3.0282,2.368,0.6189,0.0302
2.8532,2.1823,0.6285,0.0308
2.866,2.1977,0.6246,0.0319
2.9362,2.2339,0.6595,0.0313
2.9407,2.2754,0.6226,0.0308
2.9299,2.2441,0.6428,0.0313
2.9501,2.2855,0.6219,0.0311
2.8656,2.1901,0.6331,0.0307
2.8629,2.1961,0.6231,0.0318
2.8555,2.178,0.6351,0.0307
2.8417,2.1761,0.6217,0.032
2.8544,2.163,0.6483,0.0313
2.9323,2.2598,0.6294,0.0315
2.9343,2.2609,0.6292,0.031
2.9075,2.2547,0.6099,0.0315
2.8133,2.1439,0.6272,0.0303
2.8855,2.2316,0.6105,0.0322
3.0174,2.342,0.6341,0.0301
2.7831,2.128,0.6136,0.0299
2.8253,2.16,0.6232,0.0305
2.9347,2.2817,0.611,0.0305
2.9145,2.2288,0.6434,0.0307
2.9407,2.2892,0.6107,0.0293
3.1447,2.2215,0.6298,0.03
2.8173,2.1568,0.617,0.0309
2.8363,2.1506,0.6428,0.0312
2.836,2.1788,0.6151,0.0304
2.8227,2.1533,0.6273,0.0305
2.8766,2.2175,0.617,0.0306
2.9183,2.2566,0.6196,0.0307
2.9536,2.2976,0.6141,0.0303
2.9266,2.2557,0.6284,0.0307
2.9988,2.3396,0.6162,0.0312
2.9363,2.2563,0.6373,0.0311
2.8389,2.1842,0.613,0.0301
2.8843,2.2186,0.6225,0.0302
2.8973,2.2422,0.6132,0.0302
3.0293,2.3547,0.6316,0.0314
2.8487,2.1946,0.6116,0.0307
2.8503,2.1673,0.6407,0.0304
2.8565,2.1975,0.6162,0.0301
2.8951,2.2041,0.6491,0.0301
2.8196,2.1659,0.6115,0.0307
3.0642,2.3942,0.6267,0.0308
2.7984,2.1433,0.6126,0.0308
2.8467,2.1668,0.6372,0.0308
2.9029,2.2462,0.6151,0.0307
2.8658,2.1856,0.6382,0.0302
3.0432,2.3862,0.6139,0.0313
2.8955,2.2254,0.6252,0.0305
2.7736,2.1164,0.6144,0.031
2.9592,2.2888,0.6278,0.0312
2.878,2.2234,0.6131,0.0299
2.8808,2.214,0.6252,0.0299
2.9608,2.3023,0.6158,0.0306
2.8443,2.1804,0.6219,0.0304
2.9574,2.3023,0.613,0.0307
2.8079,2.1386,0.6267,0.0314
2.8581,2.2034,0.6115,0.0314
2.8079,2.1182,0.648,0.03
2.8504,2.1988,0.6096,0.0308
2.9918,2.3078,0.6404,0.0305
2.9866,2.3265,0.6147,0.0311
2.8571,2.19,0.6215,0.0313
2.9908,2.3331,0.6142,0.0308
2.8175,2.1546,0.6203,0.0308
2.9079,2.2513,0.6134,0.0313
2.8281,2.1628,0.6225,0.0311
2.8219,2.166,0.613,0.0312
2.9703,2.2658,0.619,0.0299
3.0993,2.4443,0.6116,0.0312
2.9209,2.2364,0.6427,0.0303
2.8593,2.2037,0.614,0.0301
2.8119,2.1398,0.6292,0.0311
2.8804,2.2259,0.6125,0.0302
2.8706,2.1908,0.6375,0.0302
2.8454,2.1878,0.6125,0.0335
2.9967,2.3338,0.6206,0.0308
2.8661,2.2106,0.6132,0.0309
2.8219,2.1412,0.6384,0.0309
2.855,2.2012,0.6122,0.03
2.9253,2.2397,0.6443,0.0296
2.7891,2.1342,0.6134,0.0301
2.8562,2.1906,0.6225,0.0313
2.9304,2.2746,0.6142,0.0298
3.0184,2.3459,0.6301,0.0308
2.855,2.203,0.6102,0.0302
2.8231,2.1427,0.6383,0.0302
2.8101,2.1555,0.6131,0.0302
2.8774,2.2164,0.6192,0.0305
2.7889,2.1347,0.6123,0.0302
2.8847,2.2103,0.6315,0.0312
2.9048,2.2509,0.6117,0.0305
2.8191,2.1398,0.6374,0.0304
2.8005,2.1461,0.6119,0.0305
2.8542,2.1967,0.6152,0.0308
2.9224,2.2659,0.6142,0.0308
2.9199,2.237,0.6399,0.031
2.8401,2.1858,0.612,0.0311
2.9116,2.1888,0.6574,0.0305
2.9109,2.2489,0.6151,0.0307
2.8881,2.2098,0.6353,0.0312
2.8023,2.1473,0.6122,0.031
2.8191,2.1494,0.6272,0.0308
2.9354,2.2787,0.6139,0.0312
2.8513,2.1901,0.6191,0.0306
2.8855,2.2297,0.614,0.03
2.795,2.1156,0.6373,0.0304
2.7849,2.1294,0.6131,0.0309
2.8801,2.2193,0.619,0.0299
2.7849,2.129,0.6133,0.031
2.8657,2.18,0.6427,0.0317
2.91,2.2528,0.6138,0.0315
2.8887,2.208,0.639,0.03
2.8012,2.1475,0.6116,0.0307
2.8263,2.1583,0.6258,0.0305
2.9721,2.3159,0.6145,0.0299
2.8175,2.1485,0.626,0.0313
3.0033,2.3486,0.6127,0.0304
2.9166,2.2398,0.6349,0.0304
2.9415,2.2852,0.6141,0.0303
2.8435,2.1689,0.6309,0.0321
2.9965,2.3396,0.613,0.0322
2.8921,2.2307,0.6192,0.0308
2.896,2.2406,0.6135,0.0306
2.8946,2.2091,0.6439,0.0301
2.8209,2.1662,0.6131,0.0298
2.8894,2.2291,0.6182,0.0302
2.971,2.3163,0.6133,0.03
2.9169,2.235,0.6394,0.031
2.8377,2.1721,0.6235,0.0305
2.8461,2.1876,0.6164,0.0305
3.0288,2.2466,0.6124,0.0304
2.8779,2.1418,0.6676,0.0446
2.952,2.2716,0.6206,0.0319
3.0283,2.29,0.658,0.0665
3.0207,2.3631,0.6141,0.0308
2.8504,2.1848,0.6225,0.0309
2.7995,2.1445,0.611,0.0319
2.8662,2.1823,0.6401,0.0307
2.8415,2.1899,0.6091,0.0307
2.8224,2.1568,0.6225,0.0314
2.8282,2.1697,0.6164,0.0301
2.82,2.1354,0.6418,0.0306
2.8401,2.1855,0.6099,0.0328
2.8242,2.1562,0.6249,0.0306
2.8519,2.1983,0.611,0.031
2.8136,2.13,0.6421,0.0304
2.8416,2.1861,0.6132,0.0305
2.8398,2.1713,0.6255,0.0307
2.8591,2.2051,0.6106,0.0314
2.8801,2.2098,0.6273,0.0306
2.8664,2.2126,0.6113,0.0308
2.9017,2.2306,0.6283,0.0315
2.9473,2.2919,0.6134,0.0305
2.9492,2.2725,0.635,0.0303
2.8205,2.1665,0.611,0.0308
2.8711,2.186,0.6415,0.0322
2.8597,2.2075,0.6101,0.0307
2.8445,2.1829,0.6195,0.0306
2.8253,2.1711,0.6116,0.0312
2.8628,2.1882,0.6324,0.0304
2.9853,2.3297,0.6137,0.0307
2.8723,2.2112,0.6187,0.031
2.8278,2.1742,0.6115,0.0306
2.822,2.1361,0.6437,0.0306
2.7729,2.1199,0.611,0.0305
2.8318,2.1587,0.6305,0.0314
2.8594,2.2057,0.6117,0.0303
2.8896,2.2168,0.6305,0.031
2.8663,2.2115,0.6126,0.0309
3.1692,2.3963,0.7018,0.032
2.8873,2.2213,0.6149,0.0371
2.8564,2.1948,0.6193,0.0304
2.9804,2.3261,0.6118,0.0308
2.8251,2.1653,0.6163,0.0318
2.8836,2.2276,0.6139,0.03
2.9673,2.2867,0.6387,0.0305
2.8336,2.1756,0.6161,0.0302
2.9025,2.2226,0.6381,0.0301
2.8589,2.2043,0.6124,0.0307
2.9413,2.2653,0.6338,0.0305
2.8421,2.1798,0.6202,0.0309
2.8263,2.1595,0.6246,0.0308
2.8212,2.168,0.6105,0.0311
2.9047,2.2274,0.634,0.0318
2.7945,2.14,0.613,0.0301
2.8572,2.1971,0.6173,0.0311
2.9563,2.3038,0.6107,0.0302
2.8615,2.174,0.6452,0.031
2.8623,2.209,0.6112,0.0305
2.9354,2.255,0.6388,0.0302
2.9635,2.3123,0.6091,0.0304
3.0052,2.3225,0.6391,0.0307
2.8572,2.2049,0.6104,0.0306
2.8816,2.1956,0.6435,0.0305
2.8353,2.1797,0.6132,0.0311
2.8364,2.1697,0.6232,0.0315
2.9654,2.3089,0.611,0.0325
2.8943,2.2124,0.6386,0.0316
2.7838,2.1273,0.6137,0.0313
2.8103,2.1363,0.6314,0.031
2.8535,2.2011,0.61,0.0309
2.9652,2.3008,0.6223,0.0306
2.9435,2.2816,0.6167,0.0306
2.8565,2.1826,0.6248,0.0323
2.9748,2.3138,0.6138,0.0338
2.9624,2.2944,0.6249,0.0316
2.7989,2.1384,0.618,0.0305
2.8155,2.1499,0.6226,0.0315
2.8589,2.2051,0.6115,0.0309
2.8025,2.1277,0.6327,0.0302
2.84,2.1854,0.6105,0.0324
2.8329,2.1741,0.6165,0.0305
2.9327,2.264,0.6237,0.0319
2.978,2.293,0.6418,0.0315
2.9013,2.2369,0.6207,0.0317
2.902,2.2271,0.6319,0.0312
2.9566,2.2931,0.6196,0.0318
2.8933,2.1961,0.653,0.0324
3.0162,2.3527,0.6203,0.031
3.1263,2.4248,0.6586,0.0312
2.8723,2.2059,0.6238,0.0309
2.8956,2.1971,0.6555,0.0314
2.9165,2.2494,0.6243,0.0311
2.9027,2.2192,0.6407,0.0314
2.8614,2.1945,0.6238,0.0313
3.0555,2.3525,0.6574,0.0318
2.97,2.3052,0.6225,0.0306
2.936,2.255,0.6382,0.0311
2.8425,2.1785,0.6208,0.0314
2.8923,2.2215,0.6289,0.0306
2.851,2.1997,0.6093,0.0305
2.8809,2.2075,0.6314,0.0305
2.8156,2.1619,0.6115,0.0308
2.8145,2.153,0.6192,0.0307
3.2962,2.2,0.6106,0.0304
3.0357,2.3048,0.652,0.0511
2.9271,2.2702,0.6134,0.0306
3.0082,2.3291,0.6372,0.0301
2.9253,2.2703,0.6121,0.0306
3.007,2.3239,0.6404,0.031
2.8851,2.2264,0.6131,0.0314
3.1028,2.4268,0.6336,0.0306
2.8641,2.1981,0.6234,0.031
2.8874,2.2064,0.6387,0.0308
2.9141,2.2115,0.6392,0.0303
2.8713,2.2124,0.6142,0.0316
2.839,2.1642,0.6322,0.0306
2.8178,2.1609,0.6128,0.0309
2.8871,2.21,0.6352,0.0305
2.8702,2.2164,0.6116,0.0304
2.8067,2.1473,0.6171,0.0305
2.8051,2.1467,0.6161,0.0303
2.8794,2.2044,0.6333,0.0302
2.8124,2.1615,0.6089,0.0303
2.7852,2.1154,0.6278,0.0307
2.8626,2.2116,0.6094,0.0301
2.9254,2.2572,0.6255,0.0306
2.8319,2.1802,0.6093,0.0311
2.8454,2.1637,0.6396,0.0302
2.8408,2.1877,0.6109,0.0306
2.8732,2.1931,0.6378,0.0308
2.983,2.3304,0.6107,0.0305
2.8394,2.1578,0.6388,0.0302
2.8796,2.2187,0.6182,0.031
2.8941,2.2217,0.6286,0.0318
2.7863,2.1351,0.6079,0.0317
2.9346,2.2509,0.6418,0.0306
2.8578,2.1965,0.6182,0.0305
2.818,2.1507,0.6225,0.0324
2.8809,2.227,0.6111,0.0308
2.8851,2.2075,0.635,0.031
2.8466,2.1951,0.6092,0.031
2.7912,2.1291,0.6197,0.0306
3.2437,2.2824,0.6226,0.0314
3.0174,2.2974,0.6548,0.036
2.9751,2.2823,0.6323,0.0316
2.7724,2.1148,0.6119,0.0323
2.8103,2.1477,0.62,0.031
2.8631,2.2093,0.6115,0.0309
2.866,2.2027,0.6215,0.0302
2.7765,2.1223,0.6118,0.0309
2.7776,2.113,0.6229,0.0301
2.9901,2.337,0.6109,0.0307
2.8696,2.1858,0.6415,0.0309
2.8012,2.1497,0.6082,0.0318
2.8212,2.1432,0.6358,0.0308
2.868,2.2168,0.6089,0.0309
2.922,2.2501,0.6296,0.0308
2.9606,2.3092,0.6093,0.0308
2.9798,2.2973,0.6377,0.0314
2.8602,2.1984,0.6156,0.0322
2.8538,2.1693,0.6378,0.0336
2.8519,2.1995,0.6086,0.0319
2.9395,2.2634,0.6323,0.0309
2.9083,2.2512,0.6135,0.0315
2.8717,2.2144,0.6139,0.0322
2.8102,2.1553,0.6127,0.031
2.896,2.215,0.6376,0.0319
2.8081,2.1538,0.6107,0.031
2.9775,2.2966,0.6365,0.0316
2.8204,2.1644,0.6114,0.0323
2.8089,2.1431,0.6232,0.0313
2.8907,2.2386,0.6089,0.0314
2.8351,2.1643,0.6281,0.031
2.8108,2.156,0.6122,0.0308
2.9414,2.2609,0.638,0.0302
2.8859,2.2341,0.6092,0.0311
2.9414,2.2757,0.6235,0.0306
2.8671,2.2159,0.609,0.0307
2.9885,2.3055,0.6414,0.03
2.8366,2.1819,0.6129,0.0304
3.0811,2.4126,0.6237,0.0309
2.9907,2.3388,0.6092,0.0312
2.8678,2.1937,0.6316,0.031
2.7945,2.1439,0.6084,0.0306
2.9692,2.2941,0.6327,0.0309
2.989,2.3353,0.6109,0.0307
2.8907,2.2362,0.6126,0.0303
2.8407,2.1865,0.612,0.0306
2.8167,2.1379,0.6363,0.0309
3.0276,2.375,0.6109,0.0304
2.8844,2.2257,0.6171,0.0305
2.8423,2.1848,0.6124,0.0311
2.878,2.2072,0.6264,0.0315
2.9781,2.3263,0.6093,0.0308
2.9241,2.233,0.6492,0.0302
3.0105,2.3578,0.6105,0.0304
2.8553,2.1942,0.6184,0.0307
2.8346,2.1834,0.6086,0.0308
2.8788,2.2102,0.6269,0.0301
3.0524,2.3987,0.6115,0.0305
2.9289,2.2625,0.624,0.0307
2.7947,2.1427,0.6096,0.0309
3.1562,2.3942,0.6281,0.0307
3.0541,2.3925,0.6141,0.0329
2.89,2.2035,0.6422,0.0326
3.0351,2.3817,0.6108,0.031
2.9961,2.3286,0.6251,0.0308
2.8206,2.1683,0.6089,0.0311
3.0297,2.3474,0.6384,0.0323
3.0487,2.3888,0.6179,0.0302
2.9081,2.2234,0.6426,0.0302
2.8987,2.2476,0.6084,0.0309
2.9391,2.2606,0.6345,0.0309
2.9774,2.3144,0.6175,0.0323
2.8563,2.1833,0.6238,0.0311
2.9629,2.3096,0.6088,0.0314
2.81,2.1492,0.6179,0.0311
3.0736,2.4209,0.6104,0.0309
2.8984,2.2374,0.6182,0.0309
2.9208,2.2683,0.6093,0.0317
2.875,2.2152,0.6167,0.0318
2.8511,2.1919,0.6163,0.0313
2.8004,2.1289,0.6279,0.0322
2.8906,2.2392,0.6089,0.0311
2.8769,2.2079,0.6263,0.0314
2.8281,2.1749,0.6101,0.0313
2.8794,2.2088,0.6277,0.0312
2.8966,2.2457,0.6085,0.0308
2.8376,2.1528,0.6417,0.0314
2.8895,2.2318,0.6134,0.0323
2.8832,2.1936,0.6474,0.0309
2.8237,2.167,0.6137,0.0316
2.8226,2.1547,0.6254,0.0309
2.8342,2.1818,0.6101,0.0307
2.893,2.2214,0.6297,0.0304
2.8,2.1508,0.6069,0.0306
3.2178,2.2905,0.6294,0.0312
2.8216,2.1681,0.6108,0.0309
2.8788,2.2037,0.6327,0.0308
2.8503,2.1975,0.6096,0.031
2.8858,2.2017,0.6413,0.0311
2.7927,2.1434,0.6079,0.0301
2.8221,2.1535,0.6269,0.0305
2.8291,2.1789,0.6084,0.0305
2.8571,2.1763,0.6387,0.0306
3.0807,2.279,0.6176,0.0308
2.8871,2.1986,0.6395,0.0352
2.9543,2.2999,0.6122,0.0304
2.8217,2.1439,0.6339,0.032
2.8622,2.2081,0.612,0.0307
2.8264,2.1663,0.6184,0.03
2.8697,2.2143,0.6129,0.0304
2.8158,2.1441,0.6294,0.0308
2.8164,2.1643,0.6097,0.0307
2.9372,2.2625,0.633,0.0301
2.8788,2.2255,0.6112,0.0305
2.8425,2.1489,0.6516,0.0302
2.8328,2.1771,0.6129,0.0315
2.8877,2.2294,0.6167,0.0302
2.8533,2.1997,0.6117,0.0306
2.8896,2.2256,0.6223,0.0301
2.8813,2.229,0.6103,0.0302
2.9565,2.2622,0.6508,0.0308
2.8936,2.2412,0.6085,0.0319
2.9091,2.229,0.6367,0.0316
3.0365,2.386,0.6088,0.0297
3.0419,2.3798,0.6205,0.0303
2.9662,2.3126,0.6114,0.0305
2.9784,2.3096,0.6272,0.0303
2.9384,2.2859,0.6107,0.0305
2.8192,2.1493,0.627,0.0313
2.8437,2.1936,0.6084,0.03
2.8896,2.2162,0.6318,0.0301
3.2147,2.5615,0.6108,0.0302
2.9879,2.3207,0.6239,0.0318
2.9692,2.3156,0.6117,0.0304
2.9181,2.2359,0.6397,0.0308
2.994,2.3406,0.611,0.0309
2.9181,2.26,0.6148,0.0318
2.8569,2.2045,0.6108,0.0301
2.9844,2.304,0.6389,0.0301
2.8187,2.1685,0.6086,0.0301
2.8355,2.1695,0.6248,0.0298
2.8091,2.1589,0.6089,0.0299
3.0309,2.3623,0.6238,0.0304
2.956,2.2969,0.6124,0.0309
2.9499,2.2801,0.6266,0.0308
2.8126,2.1572,0.6119,0.0319
2.9788,2.3126,0.623,0.0313
2.7931,2.1383,0.6123,0.0307
2.8923,2.2091,0.6397,0.0307
3.0462,2.3958,0.6082,0.0306
2.8328,2.1716,0.6182,0.0316
2.8229,2.1729,0.6083,0.0303
2.8724,2.1969,0.6322,0.0308
2.9046,2.2528,0.6082,0.0311
2.9016,2.233,0.6264,0.0305
3.0749,2.4149,0.6179,0.0307
2.8145,2.1372,0.6348,0.031
2.8602,2.2079,0.6105,0.0304
2.896,2.2184,0.6352,0.0307
2.7975,2.1451,0.6112,0.0299
3.0358,2.3669,0.6262,0.0311
3.0166,2.3653,0.6081,0.0318
2.9626,2.2988,0.622,0.0305
2.7977,2.1442,0.6112,0.0305
2.9,2.2274,0.6304,0.0308
2.9152,2.2618,0.6111,0.0308
2.9459,2.2849,0.6184,0.0311
2.8406,2.1891,0.6093,0.0307
2.9966,2.3138,0.6399,0.0316
2.835,2.1823,0.6094,0.0301
2.9517,2.2732,0.6368,0.0305
2.9601,2.3093,0.6076,0.0317
3.0457,2.3751,0.629,0.0304
2.8274,2.1747,0.6095,0.0317
2.9905,2.3263,0.6219,0.0307
2.8995,2.2463,0.6105,0.0311
