frametime, crtcoll, drawtime, crtupdate 
2.9661,2.2716,0.6502,0.0311
3.012,2.3291,0.6342,0.0339
3.0589,2.2019,0.8047,0.0328
2.908,2.2175,0.6407,0.0341
2.9131,2.1809,0.6786,0.0326
3.1342,2.4529,0.6338,0.033
2.9538,2.2551,0.6522,0.0312
2.918,2.238,0.6321,0.0319
3.0249,2.3069,0.6668,0.0333
2.8746,2.1924,0.635,0.0333
2.9124,2.2205,0.648,0.0321
2.8879,2.212,0.6318,0.0317
2.9437,2.2498,0.6467,0.0318
2.8419,2.1666,0.6305,0.0323
2.8911,2.2056,0.6422,0.0313
3.0913,2.4114,0.6325,0.031
2.9752,2.2767,0.6552,0.0313
2.8759,2.1942,0.6376,0.0319
3.0476,2.2702,0.7003,0.0327
3.0104,2.3185,0.6403,0.0369
2.991,2.2834,0.6643,0.0312
3.0361,2.3604,0.632,0.0318
2.9374,2.2338,0.661,0.0308
2.9396,2.2574,0.6371,0.0319
3.0135,2.3022,0.666,0.0329
3.0103,2.2182,0.6314,0.0313
3.0221,2.3134,0.6623,0.0333
2.8331,2.1568,0.6318,0.0325
3.0413,2.348,0.6472,0.0323
3.0085,2.3175,0.642,0.0332
3.032,2.3184,0.6681,0.0328
2.9506,2.2741,0.632,0.0322
2.9269,2.2353,0.6449,0.0325
3.1026,2.4152,0.6399,0.0323
2.9717,2.2534,0.6691,0.0334
2.885,2.2019,0.6366,0.0318
2.9647,2.2287,0.6746,0.0316
2.8787,2.2014,0.6307,0.0329
2.8763,2.1725,0.6598,0.0317
2.8688,2.1955,0.6288,0.0321
2.9404,2.2386,0.6559,0.0321
2.854,2.1818,0.6278,0.032
2.9019,2.1922,0.6654,0.0318
2.9225,2.2449,0.6335,0.0314
2.928,2.228,0.6554,0.032
2.9902,2.3163,0.6307,0.0313
2.9745,2.2732,0.6534,0.0318
2.9504,2.2773,0.6289,0.0323
3.0146,2.3154,0.6541,0.0322
2.969,2.2562,0.6547,0.032
